species,residence_status,breeding_status
CANG,Year-round,T
BAEA,Year-round,T
YBSA,Summer,T
DOWO,Year-round,T
HAWO,Year-round,T
PIWO,Year-round,T
MERL,Summer,T
LEFL,Summer,T
BHVI,Summer,T
BLJA,Year-round,T
AMCR,Year-round,T
CORA,Year-round,T
BCCH,Year-round,T
RBNU,Year-round,T
WBNU,Year-round,T
BRCR,Year-round,T
WIWR,Summer,T
GCKI,Summer,T
RCKI,Summer,T
SWTH,Summer,T
HETH,Summer,T
AMRO,Summer,T
PUFI,Summer,T
AMGO,Year-round,T
WTSP,Summer,T
DEJU,Year-round,T
COGR,Summer,T
OVEN,Summer,T
NOWA,Summer,T
BAWW,Summer,T
NAWA,Summer,T
AMRE,Summer,T
NOPA,Summer,T
PIWA,Summer,T
YRWA,Summer,T
BTNW,Summer,T
NOFL,Summer,T
